ts,ecg
1626177557705.57,-4.36299793279146
1626177557708.89,-4.35686759434552
1626177557712.22,-4.34749178260467
1626177557715.55,-4.34749178260467
1626177557718.87,-4.36472885188208
1626177557722.2,-4.3780713532056
1626177557725.52,-4.36350278419289
1626177557728.85,-4.35621849968654
1626177557732.18,-4.36314217604902
1626177557735.5,-4.35520879688368
1626177557738.83,-4.36653189260148
1626177557742.16,-4.36811856843454
1626177557745.48,-4.36270944627636
1626177557748.81,-4.36061791904186
1626177557752.14,-4.36069004067064
1626177557755.46,-4.36472885188208
1626177557758.79,-4.36270944627636
1626177557762.12,-4.35585789154266
1626177557765.44,-4.38470654305298
1626177557768.77,-4.36487309513963
1626177557772.09,-4.36775796029067
1626177557775.42,-4.38874535426442
1626177557778.75,-4.36992160915394
1626177557782.07,-4.38001863718255
1626177557785.4,-4.3667482574878
1626177557788.73,-4.38449017816665
1626177557792.05,-4.38059561021276
1626177557795.38,-4.37626831248621
1626177557798.71,-4.37504224479702
1626177557802.03,-4.37179677150211
1626177557805.36,-4.40338604490591
1626177557808.69,-4.38124470487174
1626177557812.01,-4.38759140820401
1626177557815.34,-4.38521139445441
1626177557818.66,-4.39768843623262
1626177557821.99,-4.40273695024692
1626177557825.32,-4.41290609990431
1626177557828.64,-4.40720849123102
1626177557831.97,-4.41355519456329
1626177557835.3,-4.41038184289716
1626177557838.62,-4.40129451767141
1626177557841.95,-4.41485338388126
1626177557845.28,-4.43072014221193
1626177557848.6,-4.43310015596153
1626177557851.93,-4.40475635585265
1626177557855.26,-4.38470654305298
1626177557858.58,-4.39855389577793
1626177557861.91,-4.40800182914756
1626177557865.23,-4.40187149070162
1626177557868.56,-4.41456489736615
1626177557871.89,-4.4206952358121
1626177557875.21,-4.41485338388126
1626177557878.54,-4.41665642460065
1626177557881.87,-4.42019038441067
1626177557885.19,-4.40749697774613
1626177557888.52,-4.41074245104104
1626177557891.85,-4.42978256103785
1626177557895.17,-4.41268973501798
1626177557898.5,-4.43180196664357
1626177557901.82,-4.44694750868648
1626177557905.15,-4.41391580270717
1626177557908.48,-4.42314737119047
1626177557911.8,-4.4233637360768
1626177557915.13,-4.42934983126519
1626177557918.46,-4.41744976251719
1626177557921.78,-4.4394468592938
1626177557925.11,-4.44500022470954
1626177557928.44,-4.44990449546629
1626177557931.76,-4.41456489736615
1626177557935.09,-4.41896431672148
1626177557938.42,-4.41932492486536
1626177557941.74,-4.42083947906965
1626177557945.07,-4.4325953045601
1626177557948.39,-4.43966322418013
1626177557951.72,-4.43627350762767
1626177557955.05,-4.40598242354184
1626177557958.37,-4.41737764088841
1626177557961.7,-4.42249827653149
1626177557965.03,-4.41701703274453
1626177557968.35,-4.42026250603944
1626177557971.68,-4.44752448171669
1626177557975.01,-4.42148857372863
1626177557978.33,-4.45062571175405
1626177557981.66,-4.42581587145518
1626177557984.99,-4.42011826278189
1626177557988.31,-4.43057589895438
1626177557991.64,-4.43778806183196
1626177557994.96,-4.44290869747504
1626177557998.29,-4.42523889842497
1626177558001.62,-4.4254552633113
1626177558004.94,-4.42906134475009
1626177558008.27,-4.43180196664357
1626177558011.6,-4.44997661709507
1626177558014.92,-4.44983237383752
1626177558018.25,-4.45978515860858
1626177558021.58,-4.43165772338602
1626177558024.9,-4.44096141349809
1626177558028.23,-4.44031231883911
1626177558031.56,-4.43987958906646
1626177558034.88,-4.45639544205611
1626177558038.21,-4.43483107505215
1626177558041.53,-4.42040674929699
1626177558044.86,-4.43562441296868
1626177558048.19,-4.43367712899174
1626177558051.51,-4.42696981751559
1626177558054.84,-4.43310015596153
1626177558058.17,-4.44608204914117
1626177558061.49,-4.43180196664357
1626177558064.82,-4.45185177944324
1626177558068.15,-4.45848696929061
1626177558071.47,-4.4412499000132
1626177558074.8,-4.44305294073259
1626177558078.12,-4.43187408827234
1626177558081.45,-4.45538573925325
1626177558084.78,-4.42920558800764
1626177558088.1,-4.42047887092577
1626177558091.43,-4.43519168319603
1626177558094.76,-4.4236522225919
1626177558098.08,-4.43165772338602
1626177558101.41,-4.42999892592417
1626177558104.74,-4.41506974876758
